Structure;NOM1;NOM2;ADRESSE1;ADRESSE2;CP;VILLE;Longitude;Latitude;coordonnees_geoloc;coordonnees_ban;coordonnees_finales;Région
Scène Nationale;Théâtre Jean Lurçat - Scène nationale;;Avenue des Lissiers;BP 11;23200;AUBUSSON;2.168553;45.954685999999995;45.954685999999995,2.168553;45.95457, 2.170185;45.954686, 2.168553;Nouvelle-Aquitaine
Scène Nationale;Espace Besançon Planoise - Scène nationale;;Place de l’Europe;BP 2033;25050;BESANÇON Cedex;5.973351;47.217925999999984;47.217925999999984,5.973351;;47.217926, 5.973351;Bourgogne-Franche-Comté
Scène Nationale;MC93 - Scène nationale;;1, boulevard Lénine;BP 71;93000;BOBIGNY Cedex;2.4401029999999997;48.90646699999999;48.90646699999999,2.4401029999999997;48.90655, 2.441855;48.906467, 2.440103;Île-de-France
Scène Nationale;Le Quartz - Scène nationale;;2-4, avenue Clémenceau;BP 411;29200;BREST Cedex;-4.491028;48.392779999999995;48.392779999999995,-4.491028;48.38914, -4.48448;48.39278, -4.491028;Bretagne
Scène Nationale;L'Apostrophe - Scène nationale;;Place des Arts;BP 307;95000;CERGY-PONTOISE Cedex;;;;49.036322, 2.078656;49.036322, 2.078656;Île-de-France
Scène Nationale;Le Trident - Scène nationale;;Place du Général de Gaulle;BP 807;50100;CHERBOURG Cedex;-1.6337840000000001;49.63975300000002;49.63975300000002,-1.6337840000000001;49.638093, -1.622482;49.639753, -1.633784;Normandie
Scène Nationale;Culture commune - Scène nationale;;11/19, rue de Bourgogne;;62750;LOOS-EN-GOHELLE;2.787572;50.441917;50.441917,2.787572;50.442657, 2.789213;50.441917, 2.787572;Hauts-de-France
Scène Nationale;Lieu Unique - Scène nationale;;2, rue de la Biscuiterie;BP 21304;44000;NANTES Cedex 1;-1.54477;47.21529000000002;47.21529000000002,-1.54477;47.215155, -1.545073;47.21529, -1.54477;Pays de la Loire
Scène Nationale;Théâtre et Auditorium de Poitiers;;1, place du Maréchal Leclerc;;86000;POITIERS;0.339617;46.580512999999996;46.580512999999996,0.339617;46.580669, 0.339687;46.580513, 0.339617;Nouvelle-Aquitaine
Scène Nationale;Le théâtre de Saint-Nazaire;;Rue des frères Pereire;BP 150;44600;SAINT-NAZAIRE;-2.254286;47.26774199999999;47.26774199999999,-2.254286;47.297148, -2.195976;47.267742, -2.254286;Pays de la Loire
Scène Nationale;Théâtre de Saint-Quentin-en-Yvelines;;3 Place Georges Pompidou;MONTIGNY-LE-BRETONNEUX;78180;Montigny-le-Bretonneux;;;;48.783134, 2.043367;48.783134, 2.043367;Île-de-France
Scène Nationale;Le Parvis / Scène nationale Tarbes-Pyrénées;Centre Méridien;Centre Commercial Le Méridien, Route de Pau;;65420;IBOS;-0.008175;43.242247999999975;43.242247999999975,-0.008175;43.241052, 0.019087;43.242248, -0.008175;Occitanie
Scène Nationale;Lux - Scène nationale;;36, boulevard du Général de Gaulle;;26000;VALENCE;4.894301;44.93031399999999;44.93031399999999,4.894301;44.930191, 4.893946;44.930314, 4.894301;Auvergne-Rhône-Alpes
Scène Nationale;Centre Culturel André Malraux / Scène nationale de Vandoeuvre;;1, place de l'Hôtel de Ville;BP 126;54500;VANDOEUVRE-LES-NANCY;6.172584999999999;48.660616;48.660616,6.172584999999999;48.65993, 6.17261;48.660616, 6.172585;Grand Est
SMAC;Des lendemains qui chantent;Asso.de Lendemains qui chantent;Avenue du Lieutenant Colonel;Faro L'Auzelou;19000;TULLE;;;;45.280697, 1.786088;45.280697, 1.786088;Nouvelle-Aquitaine
SMAC;La Sirène;XLR Espace musiques actuelles/  La Palice;111, boulevard Emile Delmas;La Pallice;17000;LA ROCHELLE;;;;46.160488, -1.215798;46.160488, -1.215798;Nouvelle-Aquitaine
SMAC;Le Normandy;Ecran Sonique;Place du Champ de Mars;bp 330 -;50000;ST LO;;;;49.116174, -1.087574;49.116174, -1.087574;Normandie
SMAC;La Cave à Musique;Association Luciol;119, rue Boullay;;71000;MACON;;;;46.300907, 4.825409;46.300907, 4.825409;Bourgogne-Franche-Comté
SMAC;Le Moulin de Brainans;Association Promodegel;;C/O association Promidégel, BP 45;39800;BRAINANS;;;;46.869925, 5.622268;46.869925, 5.622268;Bourgogne-Franche-Comté
SMAC;Antipode (projet SMAC d'agglomération rennaise);MJC Cleunay;2, rue A Trasbot;MJC Antipode,;35000;RENNES;;;;48.100842, -1.708982;48.100842, -1.708982;Bretagne
SMAC;Les Bains Douches;Association Les Bains Douches;Place Anne Sylvestre;C/O Les Bains Douches;18160;LIGNIERES;;;;;;
SMAC;La Clef;Association pour la culture, les loisirs et la formation;46, rue de Mareil;;78100;SAINT-GERMAIN-EN-LAYE;;;;48.894016, 2.088918;48.894016, 2.088918;Île-de-France
SMAC;La Gespe;Gespe animations et spectacles;23, rue Paul Cézanne;;65000;TARBES;;;;43.225966, 0.058536;43.225966, 0.058536;Occitanie
SMAC;Vip;Les Escales de Saint-Nazaire;Boulevard de la légion d'honneur;Alvéole 14;44600;SAINT-NAZAIRE;;;;47.275161, -2.204005;47.275161, -2.204005;Pays de la Loire
